	FPKM	mean
FBtr0070816	0.0	-0.027129300000000002
FBtr0070817	0.0	-0.0270476
FBtr0070818	0.0	-0.0125193
FBtr0070819	0.0	-0.0226679
FBtr0070820	0.0	-0.0498095
FBtr0070821	0.0	-0.0645758
FBtr0070822	510.325104	-0.0438021
FBtr0070823	1560.049561	0.435921
FBtr0070824	0.0	-0.03725440000000001
FBtr0070825	3.997207	-0.053443
FBtr0070826	30.518295000000002	-0.053443
FBtr0070827	33.42868	-0.0819158
FBtr0070828	18.682379	-0.0789548
FBtr0070829	41.480103	-0.0370298
FBtr0070830	11.56081	-0.0393376
FBtr0070832	6.8959220000000006	-0.045569099999999994
FBtr0070833	0.0	1.7673599999999998
FBtr0070836	0.0	-0.0449342
FBtr0070837	52.757401	9.16046
FBtr0070839	22.85001	9.16046
FBtr0070840	25.77976	-0.08074289999999999
FBtr0070841	4.4665	-0.041563300000000004
FBtr0070842	0.0	-0.041563300000000004
FBtr0070843	24.009737	9.61331
FBtr0070844	0.0	-0.0583687
FBtr0070845	0.0	-0.0583687
FBtr0070846	18.673122	-0.05645940000000001
FBtr0070847	11.356517	-0.0742424
FBtr0070848	37.621693	-0.0504504
FBtr0070849	21.075859	-0.0816313
FBtr0070850	0.0	-0.0668009
FBtr0070851	0.0	-0.0668009
FBtr0070852	0.0	-0.0668009
FBtr0070858	0.0	-0.0534044
FBtr0070859	5.167842	-0.00910358
FBtr0070860	5.105721	-0.0165073
FBtr0070861	0.0	-0.0526225
FBtr0070862	0.0	-0.0415834
FBtr0070863	0.0	0.45309499999999997
FBtr0070864	0.0	-0.0294094
FBtr0070865	0.0	-0.0414441
FBtr0070866	36.392014	-0.04241280000000001
FBtr0070867	72.58918	-0.079085
FBtr0070871	0.0	-0.040630900000000005
FBtr0070872	0.0	-0.051090199999999995
FBtr0070873	0.0	-0.031923
FBtr0070874	21.405703	1.42499
FBtr0070875	0.0	0.322308
FBtr0070877	63.252871999999996	-0.053886300000000005
FBtr0070878	0.0	-0.05871799999999999
FBtr0070879	0.0	-0.0220748
FBtr0070880	0.0	-0.0320874
FBtr0070881	0.0	-0.03288680000000001
FBtr0070884	0.0	-0.0380964
FBtr0070886	0.0	-0.0630043
FBtr0070887	0.0	-0.037549
FBtr0070888	0.0	-0.027775499999999998
FBtr0070889	7.207592	-0.0436779
FBtr0070890	0.0	-0.0474085
FBtr0070891	0.0	-0.0402709
FBtr0070892	0.0	-0.065332
FBtr0070893	0.0	-0.026873200000000003
FBtr0070894	37.51157	-0.0898194
FBtr0070895	1.868366	-0.05464109999999999
FBtr0070896	34.234928000000004	-0.0648414
FBtr0070897	17.17116	-0.10421
FBtr0070898	8.066526	-0.08039639999999999
FBtr0070899	33.956257	-0.0900329
FBtr0070900	0.0	-0.0590359
FBtr0070901	0.0	-0.0456036
FBtr0070903	0.0	-0.0356094
FBtr0070904	61.819878	-0.0401954
FBtr0070905	97.393776	-0.0855659
FBtr0070906	0.0	-0.0625642
FBtr0070907	92.951447	-0.0797403
FBtr0070909	2.36407	-0.0599236
FBtr0070910	77.194122	-0.0599236
FBtr0070911	0.0	-0.0250458
